Country,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22(e)
Colombia,"1,570","1,270","1,610","2,610","3,690","3,650","4,950","4,650","-1,460",630
Ecuador,170,370,80,-120,20,50,60,150,-40,40
Falkland Is,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,10,0,0,0,0,0
Guyana,0,10,0,10,-10,0,10,0,0,0
Paraguay,20,0,0,10,60,10,10,20,-10,30
Peru,320,190,170,180,270,440,410,560,-50,160
Suriname,20,0,0,-10,10,0,0,0,0,0
Uruguay,0,30,40,50,120,120,200,90,-80,50
Venezuela,370,310,540,660,580,60,110,290,-20,10
"S America, nec",0,0,0,0,0,0,0,0,0,0
Belize,10,0,-10,0,0,0,0,0,0,0
Costa Rica,-10,30,10,30,20,20,40,10,0,20
El Salvador,50,50,30,40,40,60,40,100,30,20
Guatemala,10,40,30,0,20,20,40,30,0,50
Honduras,20,40,10,-20,10,0,20,40,20,30
Mexico,300,310,380,480,460,460,530,340,-140,190
Nicaragua,20,10,0,10,10,10,20,10,0,10
Panama,10,20,0,10,10,0,10,30,-10,10
Anguilla,0,0,0,0,0,0,0,0,0,0
Antigua/Barbuda,0,0,10,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0
Bahamas,0,10,10,10,0,0,10,0,0,10
Barbados,10,0,10,10,10,0,0,10,0,0
Cayman Islands,10,10,10,10,10,0,0,10,0,10
Cuba,70,10,20,20,30,30,20,40,0,10
Dominica,0,0,0,0,0,0,0,0,0,0
Dominican Rep,-10,20,10,0,20,20,10,10,10,0
Grenada,0,0,0,0,0,0,0,0,0,0
Guadeloupe,10,0,10,10,0,0,0,0,0,0
Haiti,0,10,0,0,10,10,0,10,0,0
Jamaica,50,30,50,0,40,20,20,10,0,20
Martinique,10,10,0,10,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0
Puerto Rico,20,10,0,10,10,10,-10,0,-10,-10
St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0
St Lucia,10,0,0,0,0,0,0,0,0,0
St Vinc/Grenad,10,0,0,0,0,0,0,10,0,0
Trinidad/Tobago,70,70,10,-10,0,30,20,40,10,30
Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0
"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0
"Virgin Is, US",0,0,0,0,0,0,10,0,0,0
St Barthelemy,0,0,0,0,0,0,0,0,0,0
St Martin (Fr),0,0,0,0,0,0,0,0,0,0
Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0
Curacao,0,0,0,0,0,0,0,0,0,0
Sint Maarten Dp,0,0,0,0,0,10,0,0,0,0
Benin,0,0,10,0,0,0,10,0,-10,0
Burkina Faso,0,0,10,0,0,0,0,10,0,0
Cameroon,30,30,40,30,30,30,40,40,0,30
Cabo Verde,10,0,0,0,0,0,0,10,0,0
Cent Africa Rep,0,0,0,0,0,0,60,80,0,0
Chad,0,0,0,0,0,0,20,30,0,0
"Congo, Rep",30,20,20,30,50,40,30,40,10,20
"Congo, Dem Rep",290,550,440,630,340,620,"1,480",680,30,180
Cote d'Ivoire,20,30,30,0,40,0,10,30,0,10
Equator Guinea,0,0,0,0,0,0,0,0,0,0
Gabon,10,0,10,10,10,-10,0,0,0,0
Gambia,10,10,20,0,0,10,0,0,0,10
Ghana,350,300,330,370,390,360,340,230,-60,390
Guinea,40,60,40,20,90,30,30,10,10,70
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0
Liberia,100,150,60,50,120,50,20,0,20,60
Mali,10,0,0,0,0,0,0,0,0,0
Mauritania,0,0,10,0,0,0,0,0,0,0
Niger,10,10,0,0,10,0,10,0,0,0
Nigeria,710,900,"1,000","1,420","1,680","1,120",990,870,10,"1,610"
Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0
Senegal,0,10,0,10,0,20,10,10,10,10
Sierra Leone,110,110,40,30,100,160,30,20,20,110
Togo,20,10,0,0,10,0,0,0,0,10
Angola,10,0,0,10,0,0,10,10,0,0
Botswana,60,20,0,30,60,70,80,60,-20,40
Burundi,70,100,140,110,90,190,320,200,0,60
Comoros,0,0,0,0,0,0,0,0,0,0
Djibouti,10,10,10,10,0,0,0,0,0,0
Eritrea,160,290,410,410,340,380,300,450,20,110
Ethiopia,540,780,820,760,840,640,600,600,150,420
Kenya,730,770,"1,020","1,190","1,790","1,340","1,300",970,-70,"1,700"
Lesotho,0,10,0,-10,0,0,0,10,0,0
Madagascar,10,10,0,10,10,20,20,10,-10,-10
Malawi,50,50,0,60,50,40,130,40,-20,80
Mauritius,360,360,480,540,530,330,450,400,-240,430
Mayotte,0,0,0,0,0,0,0,0,0,0
Mozambique,30,10,30,10,20,20,30,10,-20,0
Namibia,70,10,20,60,50,40,70,80,10,50
Reunion,10,0,10,20,30,-10,10,10,-10,-10
Rwanda,60,70,60,60,50,40,100,50,10,30
St Helena,0,0,0,0,0,0,0,0,0,0
Seychelles,10,10,10,0,20,-10,10,-10,0,20
Somalia,470,570,470,560,240,140,100,-30,-10,50
South Africa,"5,520","3,710","3,460","4,080","5,580","4,680","5,990","6,380","2,560","4,520"
Eswatini,10,-10,0,-10,0,20,10,0,0,0
Tanzania,100,70,90,50,120,60,250,170,-10,50
Uganda,140,140,180,170,150,200,160,210,20,160
Zambia,210,100,40,70,110,90,80,170,20,210
Zimbabwe,"1,180",940,870,"1,090","1,150",860,"1,130","1,100",200,"1,050"
"S & E Afr, nec",0,0,0,0,0,0,0,0,0,0
Inadequately Described,0,0,0,0,0,0,0,0,0,0
